Shop_name,Products,Chart_Performance,Rating,Followers,Rating_bad,Rating_good,Rating_normal
2021 Special T-shirt New Year ,2951,93,4.755786,25383,189,9691,451
Ayra gallery,59,94,4.769531,236,5,259,13
Izzy Rossie,7,95,4.992188,2337,0,317,0
ERAtrading,37,93,4.84461,2874,37,3904,144
HOOWAN SPORT,148,95,4.871048,3406,37,5125,126
Adiba Fashion 2021,40,99,4.852072,5018,40,4234,141
🌈HYSHOP.MY💕,78,86,4.787166,10447,44,4448,235
Kedaibigsize,14,36,4.85875,1012,8,807,24
KEDAI KITA SAHAJA,51,91,4.949271,40592,16,6141,51
chia seed,108,1,4.861011,33674,599,68909,1916
Sunrise Fashion,491,100,4.923656,19259,108,66469,987
Knithaul-Sissy,11,95,4.989021,27397,1,2591,3
DropshipMurah2u,171,99,4.900941,14590,49,16000,324
The.Beautious,19,97,4.87758,9435,15,2248,58
Yaya_uwais Collection,40,97,4.965701,5459,5,1433,7
Bellamy House,328,99,4.884202,31803,120,18376,449
CINDYC FASHION WOMEN CLOTHING,987,49,4.759628,77470,2098,121245,6448
cqlife.my,313,100,4.878566,13161,99,21058,612
22 shop,116,89,4.89837,10960,164,45500,838
Warmred.kl,4,71,4.985743,2365,0,555,1
【F@W】,258,91,4.771554,8363,84,5844,334
Korean*Fashion,314,49,4.774974,1512,32,1818,99
Ultimately Beautiful ,425,100,4.968641,38098,67,94718,509
KiddyHouseMY,262,93,4.931317,4275,9,4141,54
PANDA SHOP (MEN BAG & ACCESSORIES),163,57,4.903927,86929,803,189676,3513
LivingGrocery,54,82,4.811253,1319,76,6455,266
"◇Hey, girl◇women underwear",247,98,4.906226,9459,42,14655,278
B&Z Lucky Store,232,85,4.783769,9650,153,12034,648
mi.fashionstore,12,98,4.964417,1599,6,8119,58
The E Brand (TEB),372,97,4.926523,35291,214,74678,1102
XY XY,3,95,4.923316,3452,2,1194,19
ziyike,276,99,4.894321,10983,114,19033,434
auliaayunie fashion 2020,246,62,4.818613,6575,303,18395,643
Haicospl Cosplay Store,317,88,4.927549,2551,32,12493,162
famous icon,59,99,4.92269,30030,112,46858,719
In Fashion Malaysia,52,96,4.94324,5295,6,1618,11
icos_fashion.my,235,97,4.919069,4216,6,5423,91
Jasii,2,68,4.870968,780,0,61,2
yangy.my,206,91,4.839074,15240,123,14415,547
4U FASHION,1078,45,4.779335,27081,533,31212,1501
HappyShop0314,23,99,4.89598,1097,7,1549,31
rinaashopp_,6,73,4.868379,9378,14,1315,25
Ns_exclusive,20,87,4.878229,2736,2,297,8
qiesgallery,14,98,4.947592,770,1,1552,11
BellaChan Wholesale,435,94,4.890805,11571,221,42238,988
HIPSTERLY STYLE SHOP,100,75,4.93396,33976,13,4810,64
BAJU EXPRESS,826,94,4.934103,3513,7,2873,34
NA’s Collection✨,23,84,4.960396,1157,0,107,1
kidsreka,9,89,4.961832,209,1,960,6
MODU FOR BABY,210,51,4.824426,32065,800,67776,2531
Kedai Hanna,18,99,4.964767,2955,9,7807,44
Shuimu Nianhua wardrobe.,1112,67,4.890041,588,8,1458,27
Sosten Collection,157,85,4.843025,48050,721,83495,2799
🌈China Station🌸,368,99,4.759028,2074,26,1365,72
grow_kids,51,100,4.940589,4332,5,4176,50
Rizrin Fashion Store,66,86,4.823113,3035,69,4483,168
